event,time,speed,paddle_position,hit_position,camera,goal_scored,goal_received,base_speed,base_speed_multiplier,left_paddle_speed,right_paddle_speed,left_paddle_bounce_angle,right_paddle_bounce_angle,time_stamp
EPISODE START,5.626691,-10,,,,,,,,,,,,7/14/2021 2:01:07 PM
GOAL RECEIVED,6.616616,,,,0,,1,,,,,,,7/14/2021 2:01:08 PM
EPISODE START,9.625298,8,,,,,,,,,,,,7/14/2021 2:01:11 PM
HIT,10.70866,-7.9984,1.2,0,,,,,,,,,,7/14/2021 2:01:13 PM
HIT,11.91484,14.22752,2.639395,0,,,,,,,,,,7/14/2021 2:01:14 PM
HIT,13.13502,-14.04962,2.179529,0.3389802,,,,,,,,,,7/14/2021 2:01:15 PM
HIT,14.28501,14.84615,1.626286,0.3389802,,,,,,,,,,7/14/2021 2:01:16 PM
HIT,15.58204,-13.07654,-1.282165,-0.6741295,,,,,,,,,,7/14/2021 2:01:17 PM
HIT,16.6902,15.38767,0.3062235,-0.6741295,,,,,,,,,,7/14/2021 2:01:19 PM
HIT,18.02223,-12.79265,2.424947,-0.7944845,,,,,,,,,,7/14/2021 2:01:20 PM
HIT,19.09114,15.988,4.270194,-0.7944845,,,,,,,,,,7/14/2021 2:01:21 PM
HIT,20.16149,-16.03206,1.540859,0.2701936,,,,,,,,,,7/14/2021 2:01:22 PM
HIT,21.1929,-8.884525,0.2443673,0.2701936,,,,,,,,,,7/14/2021 2:01:23 PM
GOAL RECEIVED,21.33394,,,,1,,1,,,,,,,7/14/2021 2:01:23 PM
EPISODE START,24.34075,-12,,,,,,,,,,,,7/14/2021 2:01:26 PM
HIT,25.07069,4.736788,-3.976193,-1.356219,,,,,,,,,,7/14/2021 2:01:27 PM
HIT,27.31216,0.6802545,2.069413,-1.278317,,,,,,,,,,7/14/2021 2:01:29 PM
GOAL SCORED,27.60769,,,,2,1,,,,,,,,7/14/2021 2:01:29 PM
EPISODE START,30.61846,8,,,,,,,,,,,,7/14/2021 2:01:32 PM
HIT,31.69059,-7.9984,-1.2,-1.278317,,,,,,,,,,7/14/2021 2:01:34 PM
HIT,32.91419,14.10286,-3.913794,-1.278317,,,,,,,,,,7/14/2021 2:01:35 PM
HIT,34.09204,-14.50387,-4.75,-0.1144776,,,,,,,,,,7/14/2021 2:01:36 PM
HIT,35.47649,4.366754,2.784271,-0.1144776,,,,,,,,,,7/14/2021 2:01:37 PM
HIT,37.44455,8.755198,-2.534394,-1.215729,,,,,,,,,,7/14/2021 2:01:39 PM
GOAL SCORED,37.59629,,,,4,1,,,,,,,,7/14/2021 2:01:39 PM
EPISODE START,40.61098,8,,,,,,,,,,,,7/14/2021 2:01:42 PM
